,video_id,video_path,sentence,top1,top5,top10
0,video7579,example/MSR-VTT-1kA/test_1k_compress/video7579.mp4,a girl wearing red top and black trouser is putting a sweater on a dog,video7579,"['video7579', 'video9580', 'video8825', 'video9969', 'video8917']","['video7579', 'video9580', 'video8825', 'video9969', 'video8917', 'video7590', 'video9353', 'video7158', 'video7669', 'video8300']"
1,video7725,example/MSR-VTT-1kA/test_1k_compress/video7725.mp4,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,video7725,"['video7725', 'video7411', 'video9513', 'video9241', 'video7367']","['video7725', 'video7411', 'video9513', 'video9241', 'video7367', 'video8556', 'video9882', 'video8447', 'video7158', 'video8863']"
2,video9258,example/MSR-VTT-1kA/test_1k_compress/video9258.mp4,a person is using a phone,video9258,"['video9258', 'video9623', 'video8949', 'video9119', 'video7367']","['video9258', 'video9623', 'video8949', 'video9119', 'video7367', 'video7575', 'video9344', 'video9233', 'video9353', 'video7412']"
3,video7365,example/MSR-VTT-1kA/test_1k_compress/video7365.mp4,cartoon people are eating at a restaurant,video7559,"['video7559', 'video7365', 'video9580', 'video9403', 'video8662']","['video7559', 'video7365', 'video9580', 'video9403', 'video8662', 'video7218', 'video7725', 'video7939', 'video7744', 'video9814']"
4,video8068,example/MSR-VTT-1kA/test_1k_compress/video8068.mp4,a woman on a couch talks to a a man,video8068,"['video8068', 'video9623', 'video9353', 'video7590', 'video9241']","['video8068', 'video9623', 'video9353', 'video7590', 'video9241', 'video7158', 'video8917', 'video7939', 'video8922', 'video9418']"
5,video7131,example/MSR-VTT-1kA/test_1k_compress/video7131.mp4,athletes are getting ready and start running for an event,video7131,"['video7131', 'video7357', 'video8262', 'video9605', 'video7839']","['video7131', 'video7357', 'video8262', 'video9605', 'video7839', 'video7978', 'video7854', 'video7669', 'video7214', 'video9017']"
6,video7213,example/MSR-VTT-1kA/test_1k_compress/video7213.mp4,a woman is making lasagna,video7213,"['video7213', 'video7744', 'video8300', 'video7939', 'video8662']","['video7213', 'video7744', 'video8300', 'video7939', 'video8662', 'video7148', 'video7559', 'video8514', 'video9969', 'video9337']"
7,video7575,example/MSR-VTT-1kA/test_1k_compress/video7575.mp4,a man speaking in a microphone,video9233,"['video9233', 'video7158', 'video9882', 'video7575', 'video7367']","['video9233', 'video7158', 'video9882', 'video7575', 'video7367', 'video7145', 'video9418', 'video9623', 'video8269', 'video8447']"
8,video7978,example/MSR-VTT-1kA/test_1k_compress/video7978.mp4,a team with blue uniforms are playing badmitten with a team in white,video7978,"['video7978', 'video7357', 'video8863', 'video7771', 'video9605']","['video7978', 'video7357', 'video8863', 'video7771', 'video9605', 'video7158', 'video7839', 'video7131', 'video8262', 'video9574']"
9,video8123,example/MSR-VTT-1kA/test_1k_compress/video8123.mp4,a woman is giving demo for baby trolley,video8123,"['video8123', 'video8863', 'video9699', 'video9353', 'video9337']","['video8123', 'video8863', 'video9699', 'video9353', 'video9337', 'video7744', 'video9258', 'video8447', 'video7158', 'video7939']"
10,video9800,example/MSR-VTT-1kA/test_1k_compress/video9800.mp4,a car is in a wreck,video9800,"['video9800', 'video9344', 'video7567', 'video8819', 'video7752']","['video9800', 'video9344', 'video7567', 'video8819', 'video7752', 'video7110', 'video8820', 'video9017', 'video9354', 'video7214']"
11,video9205,example/MSR-VTT-1kA/test_1k_compress/video9205.mp4,a woman interviewing about her part in a protest happening in brazil,video9205,"['video9205', 'video7145', 'video9353', 'video7158', 'video9233']","['video9205', 'video7145', 'video9353', 'video7158', 'video9233', 'video9882', 'video9016', 'video8917', 'video8662', 'video9337']"
12,video7590,example/MSR-VTT-1kA/test_1k_compress/video7590.mp4,an emotional scene of two persons where they are crying on meeting,video7590,"['video7590', 'video9241', 'video8922', 'video9623', 'video8917']","['video7590', 'video9241', 'video8922', 'video9623', 'video8917', 'video7365', 'video8068', 'video9353', 'video9513', 'video7158']"
13,video9017,example/MSR-VTT-1kA/test_1k_compress/video9017.mp4,the man is driving his motorbike fast and having problems on the race,video9017,"['video9017', 'video8820', 'video9344', 'video7214', 'video7752']","['video9017', 'video8820', 'video9344', 'video7214', 'video7752', 'video8819', 'video7567', 'video8322', 'video9800', 'video7110']"
14,video9241,example/MSR-VTT-1kA/test_1k_compress/video9241.mp4,japanese people laughing and dancing,video7725,"['video7725', 'video9241', 'video7367', 'video9513', 'video7365']","['video7725', 'video9241', 'video7367', 'video9513', 'video7365', 'video7028', 'video9224', 'video7411', 'video8556', 'video9324']"
15,video7158,example/MSR-VTT-1kA/test_1k_compress/video7158.mp4,fox news presidential debate recapping the gop debate with donald trump and ted cruz,video7158,"['video7158', 'video7145', 'video9205', 'video8917', 'video9233']","['video7158', 'video7145', 'video9205', 'video8917', 'video9233', 'video7575', 'video9353', 'video9418', 'video8922', 'video7946']"
16,video9233,example/MSR-VTT-1kA/test_1k_compress/video9233.mp4,a man is giving a speech,video9233,"['video9233', 'video8269', 'video7158', 'video9418', 'video9882']","['video9233', 'video8269', 'video7158', 'video9418', 'video9882', 'video9623', 'video8922', 'video8119', 'video9329', 'video7575']"
17,video8687,example/MSR-VTT-1kA/test_1k_compress/video8687.mp4,fast moving time is shown here,video8687,"['video8687', 'video9344', 'video7978', 'video7214', 'video9605']","['video8687', 'video9344', 'video7978', 'video7214', 'video9605', 'video8819', 'video7752', 'video9017', 'video7131', 'video7839']"
18,video9337,example/MSR-VTT-1kA/test_1k_compress/video9337.mp4,some people are inside of a room,video7725,"['video7725', 'video9324', 'video9623', 'video9241', 'video8068']","['video7725', 'video9324', 'video9623', 'video9241', 'video8068', 'video8922', 'video8269', 'video8447', 'video7590', 'video7559']"
19,video9620,example/MSR-VTT-1kA/test_1k_compress/video9620.mp4,outer space pictures that have parts of equipments in them with water droplets on it,video9620,"['video9620', 'video9574', 'video8949', 'video9253', 'video9699']","['video9620', 'video9574', 'video8949', 'video9253', 'video9699', 'video8687', 'video7352', 'video9368', 'video8322', 'video9324']"
20,video7411,example/MSR-VTT-1kA/test_1k_compress/video7411.mp4,jolly good music troop delivering a program and the lady is in good spirit,video7367,"['video7367', 'video9513', 'video8447', 'video7411', 'video7725']","['video7367', 'video9513', 'video8447', 'video7411', 'video7725', 'video9241', 'video8863', 'video8556', 'video9353', 'video8917']"
21,video8514,example/MSR-VTT-1kA/test_1k_compress/video8514.mp4,a person is putting the vegetable in to the water and boil it,video8514,"['video8514', 'video7939', 'video7744', 'video8300', 'video8949']","['video8514', 'video7939', 'video7744', 'video8300', 'video8949', 'video7148', 'video9699', 'video8784', 'video7559', 'video7213']"
22,video8481,example/MSR-VTT-1kA/test_1k_compress/video8481.mp4,a woman is reporting on keds commercials,video8481,"['video8481', 'video9605', 'video7575', 'video9353', 'video9503']","['video8481', 'video9605', 'video7575', 'video9353', 'video9503', 'video9205', 'video7145', 'video8123', 'video7567', 'video7839']"
23,video9224,example/MSR-VTT-1kA/test_1k_compress/video9224.mp4,someone is playing a game,video7771,"['video7771', 'video8116', 'video8863', 'video9344', 'video8486']","['video7771', 'video8116', 'video8863', 'video9344', 'video8486', 'video7978', 'video9224', 'video9258', 'video7214', 'video8949']"
24,video8426,example/MSR-VTT-1kA/test_1k_compress/video8426.mp4,cabins on a sandy beach have walkways going up to their porches,video9574,"['video9574', 'video9253', 'video9016', 'video9814', 'video7218']","['video9574', 'video9253', 'video9016', 'video9814', 'video7218', 'video8123', 'video8687', 'video7939', 'video8949', 'video9969']"
25,video9699,example/MSR-VTT-1kA/test_1k_compress/video9699.mp4,a man explains how to do a experiment,video9699,"['video9699', 'video7744', 'video9324', 'video7939', 'video8300']","['video9699', 'video7744', 'video9324', 'video7939', 'video8300', 'video7145', 'video9418', 'video8269', 'video8662', 'video8119']"
26,video9882,example/MSR-VTT-1kA/test_1k_compress/video9882.mp4,a news reader is reading the news and asking question to some people,video7145,"['video7145', 'video9205', 'video7158', 'video9882', 'video9233']","['video7145', 'video9205', 'video7158', 'video9882', 'video9233', 'video9909', 'video8909', 'video7575', 'video8917', 'video7412']"
27,video8300,example/MSR-VTT-1kA/test_1k_compress/video8300.mp4,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,video8300,"['video8300', 'video7939', 'video7744', 'video8514', 'video7148']","['video8300', 'video7939', 'video7744', 'video8514', 'video7148', 'video9699', 'video8662', 'video7213', 'video7559', 'video7147']"
28,video8863,example/MSR-VTT-1kA/test_1k_compress/video8863.mp4,an animated girl talks to a baby and plays with it,video8863,"['video8863', 'video9403', 'video7579', 'video9353', 'video7365']","['video8863', 'video9403', 'video7579', 'video9353', 'video7365', 'video8486', 'video8123', 'video7575', 'video9580', 'video9969']"
29,video7147,example/MSR-VTT-1kA/test_1k_compress/video7147.mp4,a man cooks burgers and bacon on a grill,video7147,"['video7147', 'video7939', 'video8300', 'video7744', 'video7559']","['video7147', 'video7939', 'video8300', 'video7744', 'video7559', 'video8119', 'video8662', 'video8514', 'video9368', 'video7771']"
30,video7744,example/MSR-VTT-1kA/test_1k_compress/video7744.mp4,a chef stirs up some ingredients inside of a pan,video7744,"['video7744', 'video8300', 'video7148', 'video7559', 'video7939']","['video7744', 'video8300', 'video7148', 'video7559', 'video7939', 'video8662', 'video8514', 'video7213', 'video9699', 'video7147']"
31,video7839,example/MSR-VTT-1kA/test_1k_compress/video7839.mp4,this is a vine sports compilation,video9605,"['video9605', 'video7839', 'video7357', 'video9344', 'video7978']","['video9605', 'video7839', 'video7357', 'video9344', 'video7978', 'video7771', 'video7131', 'video8116', 'video8481', 'video7744']"
32,video7214,example/MSR-VTT-1kA/test_1k_compress/video7214.mp4,race cars of different colors lined up on a dark track,video8819,"['video8819', 'video7214', 'video7752', 'video9017', 'video9344']","['video8819', 'video7214', 'video7752', 'video9017', 'video9344', 'video7110', 'video7131', 'video7567', 'video9800', 'video9063']"
33,video7771,example/MSR-VTT-1kA/test_1k_compress/video7771.mp4,a golf player is trying to hit the ball into the pit,video7771,"['video7771', 'video7357', 'video7978', 'video7839', 'video8116']","['video7771', 'video7357', 'video7978', 'video7839', 'video8116', 'video7147', 'video7214', 'video9344', 'video9699', 'video7131']"
34,video8486,example/MSR-VTT-1kA/test_1k_compress/video8486.mp4,a cartoon on a young guy cursing,video7575,"['video7575', 'video8863', 'video9814', 'video7946', 'video8820']","['video7575', 'video8863', 'video9814', 'video7946', 'video8820', 'video9403', 'video8486', 'video9344', 'video7567', 'video9224']"
35,video9909,example/MSR-VTT-1kA/test_1k_compress/video9909.mp4,a crowd of people sitting next to each other as one man plays a video game,video9344,"['video9344', 'video7771', 'video8863', 'video7725', 'video8486']","['video9344', 'video7771', 'video8863', 'video7725', 'video8486', 'video7158', 'video9258', 'video9233', 'video9574', 'video9605']"
36,video8922,example/MSR-VTT-1kA/test_1k_compress/video8922.mp4,an old man shakes hands with another man and then they hug each other,video8922,"['video8922', 'video7590', 'video7365', 'video8917', 'video7158']","['video8922', 'video7590', 'video7365', 'video8917', 'video7158', 'video9241', 'video9623', 'video8068', 'video9337', 'video7367']"
37,video9814,example/MSR-VTT-1kA/test_1k_compress/video9814.mp4,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward,video9814,"['video9814', 'video7218', 'video7939', 'video9574', 'video7725']","['video9814', 'video7218', 'video7939', 'video9574', 'video7725', 'video9403', 'video8556', 'video9513', 'video7575', 'video9224']"
38,video9368,example/MSR-VTT-1kA/test_1k_compress/video9368.mp4,someone demonstrates about the small motor uses to the video,video9699,"['video9699', 'video7744', 'video9344', 'video8820', 'video8269']","['video9699', 'video7744', 'video9344', 'video8820', 'video8269', 'video7752', 'video7147', 'video9324', 'video9017', 'video8863']"
39,video8820,example/MSR-VTT-1kA/test_1k_compress/video8820.mp4,a person comes up in the hill on a orange motor bike and falls down,video8820,"['video8820', 'video9017', 'video8322', 'video9344', 'video9324']","['video8820', 'video9017', 'video8322', 'video9344', 'video9324', 'video9800', 'video7854', 'video9574', 'video8949', 'video7744']"
40,video9452,example/MSR-VTT-1kA/test_1k_compress/video9452.mp4,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor,video9452,"['video9452', 'video9814', 'video8949', 'video7218', 'video9574']","['video9452', 'video9814', 'video8949', 'video7218', 'video9574', 'video8486', 'video7771', 'video9580', 'video9344', 'video7214']"
41,video9344,example/MSR-VTT-1kA/test_1k_compress/video9344.mp4,gameplay footage of someone playing a game,video9344,"['video9344', 'video7771', 'video8116', 'video8863', 'video8486']","['video9344', 'video7771', 'video8116', 'video8863', 'video8486', 'video9605', 'video9224', 'video7839', 'video9258', 'video7357']"
42,video9032,example/MSR-VTT-1kA/test_1k_compress/video9032.mp4,a hospital mortuary room and a doctor treat the special case,video9032,"['video9032', 'video7704', 'video8906', 'video8917', 'video8486']","['video9032', 'video7704', 'video8906', 'video8917', 'video8486', 'video7590', 'video7145', 'video9623', 'video7946', 'video7559']"
43,video9016,example/MSR-VTT-1kA/test_1k_compress/video9016.mp4,all persons are wearing bikini dresses and playing in sea,video8949,"['video8949', 'video9574', 'video9016', 'video7218', 'video9814']","['video8949', 'video9574', 'video9016', 'video7218', 'video9814', 'video7725', 'video9513', 'video7939', 'video7771', 'video9253']"
44,video9353,example/MSR-VTT-1kA/test_1k_compress/video9353.mp4,two women are outside and are discussing something in a foreign language,video9353,"['video9353', 'video8068', 'video7158', 'video7365', 'video9623']","['video9353', 'video8068', 'video7158', 'video7365', 'video9623', 'video9016', 'video7145', 'video8917', 'video9205', 'video9337']"
45,video9405,example/MSR-VTT-1kA/test_1k_compress/video9405.mp4,red balloons float in the sky and have packages tied to them,video9405,"['video9405', 'video8906', 'video8556', 'video8917', 'video9063']","['video9405', 'video8906', 'video8556', 'video8917', 'video9063', 'video7411', 'video7725', 'video7575', 'video9814', 'video8863']"
46,video7559,example/MSR-VTT-1kA/test_1k_compress/video7559.mp4,a man is trying some sushi,video7939,"['video7939', 'video7559', 'video7744', 'video8662', 'video8922']","['video7939', 'video7559', 'video7744', 'video8662', 'video8922', 'video8300', 'video7028', 'video7213', 'video9324', 'video9580']"
47,video9063,example/MSR-VTT-1kA/test_1k_compress/video9063.mp4,people on stage performing,video8447,"['video8447', 'video9513', 'video7367', 'video7725', 'video9233']","['video8447', 'video9513', 'video7367', 'video7725', 'video9233', 'video8556', 'video7411', 'video7669', 'video7575', 'video9258']"
48,video7352,example/MSR-VTT-1kA/test_1k_compress/video7352.mp4,a movie scene starring morgan freeman and men in armor running,video7131,"['video7131', 'video9623', 'video7839', 'video9418', 'video8820']","['video7131', 'video9623', 'video7839', 'video9418', 'video8820', 'video7590', 'video7365', 'video9017', 'video9605', 'video8322']"
