,video_id,video_path,sentence,top1,top5,top10
49,video8447,example/MSR-VTT-1kA/test_1k_compress/video8447.mp4,a woman singing on the voice,video8447,"['video8447', 'video7367', 'video9353', 'video9258', 'video9513']","['video8447', 'video7367', 'video9353', 'video9258', 'video9513', 'video7575', 'video7725', 'video7939', 'video9882', 'video8825']"
50,video8322,example/MSR-VTT-1kA/test_1k_compress/video8322.mp4,a lady tries to ride on bicycle but fails,video8322,"['video8322', 'video8820', 'video8123', 'video9017', 'video9119']","['video8322', 'video8820', 'video8123', 'video9017', 'video9119', 'video9344', 'video9353', 'video7978', 'video9699', 'video8825']"
51,video7939,example/MSR-VTT-1kA/test_1k_compress/video7939.mp4,a man and woman stand together and cook in the kitchen,video7939,"['video7939', 'video7744', 'video8300', 'video8662', 'video7148']","['video7939', 'video7744', 'video8300', 'video8662', 'video7148', 'video7559', 'video9241', 'video7147', 'video7365', 'video9623']"
52,video7567,example/MSR-VTT-1kA/test_1k_compress/video7567.mp4,a man checks out detail on a car,video7752,"['video7752', 'video7110', 'video8819', 'video9344', 'video7567']","['video7752', 'video7110', 'video8819', 'video9344', 'video7567', 'video9800', 'video7704', 'video7214', 'video9017', 'video9368']"
53,video9418,example/MSR-VTT-1kA/test_1k_compress/video9418.mp4,a man in black suit is talking about deforestation and about climate change,video9418,"['video9418', 'video9623', 'video9882', 'video9253', 'video8784']","['video9418', 'video9623', 'video9882', 'video9253', 'video8784', 'video9205', 'video7352', 'video8119', 'video7412', 'video7145']"
54,video8917,example/MSR-VTT-1kA/test_1k_compress/video8917.mp4,two men discuss social issues,video7158,"['video7158', 'video9623', 'video8922', 'video8068', 'video9882']","['video7158', 'video9623', 'video8922', 'video8068', 'video9882', 'video8917', 'video9353', 'video7145', 'video7365', 'video9205']"
55,video7704,example/MSR-VTT-1kA/test_1k_compress/video7704.mp4,a man with a very red nose,video7704,"['video7704', 'video8119', 'video7575', 'video8917', 'video9344']","['video7704', 'video8119', 'video7575', 'video8917', 'video9344', 'video7145', 'video9405', 'video9418', 'video7946', 'video9329']"
56,video7218,example/MSR-VTT-1kA/test_1k_compress/video7218.mp4,episode from spongebob cartoon,video7218,"['video7218', 'video9814', 'video7939', 'video7575', 'video9224']","['video7218', 'video9814', 'video7939', 'video7575', 'video9224', 'video7145', 'video9403', 'video7365', 'video9574', 'video8863']"
57,video7028,example/MSR-VTT-1kA/test_1k_compress/video7028.mp4,a man is singing and standing in the road,video7367,"['video7367', 'video8447', 'video9513', 'video9344', 'video9258']","['video7367', 'video8447', 'video9513', 'video9344', 'video9258', 'video7725', 'video7575', 'video9418', 'video9872', 'video9205']"
58,video8909,example/MSR-VTT-1kA/test_1k_compress/video8909.mp4,list of people s involved in making the documentary,video7412,"['video7412', 'video7145', 'video9205', 'video7158', 'video9233']","['video7412', 'video7145', 'video9205', 'video7158', 'video9233', 'video8783', 'video7939', 'video9882', 'video9909', 'video8254']"
59,video8269,example/MSR-VTT-1kA/test_1k_compress/video8269.mp4,the man thought students should be given the freedom to learn,video8269,"['video8269', 'video9882', 'video7946', 'video9699', 'video9418']","['video8269', 'video9882', 'video7946', 'video9699', 'video9418', 'video8322', 'video8119', 'video9324', 'video9623', 'video7158']"
60,video9354,example/MSR-VTT-1kA/test_1k_compress/video9354.mp4,a red truck is burning while three men talk about a car,video8819,"['video8819', 'video9354', 'video7752', 'video7110', 'video7567']","['video8819', 'video9354', 'video7752', 'video7110', 'video7567', 'video9344', 'video9017', 'video9800', 'video8820', 'video8556']"
61,video8825,example/MSR-VTT-1kA/test_1k_compress/video8825.mp4,a woman holds up a leather jacket,video8825,"['video8825', 'video9353', 'video7590', 'video9503', 'video7367']","['video8825', 'video9353', 'video7590', 'video9503', 'video7367', 'video8447', 'video9063', 'video8123', 'video9969', 'video7575']"
62,video9324,example/MSR-VTT-1kA/test_1k_compress/video9324.mp4,animated video showing a bottle rolling across an empty hallway,video9699,"['video9699', 'video9324', 'video7744', 'video7575', 'video9605']","['video9699', 'video9324', 'video7744', 'video7575', 'video9605', 'video9344', 'video9368', 'video7839', 'video7771', 'video8863']"
63,video9403,example/MSR-VTT-1kA/test_1k_compress/video9403.mp4,i see a prince trying to get a girl and i see peter pan play around,video9403,"['video9403', 'video7365', 'video8863', 'video9513', 'video9224']","['video9403', 'video7365', 'video8863', 'video9513', 'video9224', 'video9814', 'video7411', 'video9241', 'video7218', 'video9623']"
64,video8254,example/MSR-VTT-1kA/test_1k_compress/video8254.mp4,a woman in a purple dress is talking on a video,video9353,"['video9353', 'video7158', 'video9699', 'video9233', 'video8481']","['video9353', 'video7158', 'video9699', 'video9233', 'video8481', 'video7744', 'video9969', 'video9205', 'video9882', 'video8863']"
65,video7148,example/MSR-VTT-1kA/test_1k_compress/video7148.mp4,a cheif is preparing a treat,video7559,"['video7559', 'video8662', 'video7744', 'video7148', 'video7939']","['video7559', 'video8662', 'video7744', 'video7148', 'video7939', 'video8300', 'video7147', 'video9580', 'video8514', 'video8784']"
66,video7367,example/MSR-VTT-1kA/test_1k_compress/video7367.mp4,this is a rock band music video,video7367,"['video7367', 'video7839', 'video9872', 'video7411', 'video9605']","['video7367', 'video7839', 'video9872', 'video7411', 'video9605', 'video9699', 'video9258', 'video9344', 'video9574', 'video8447']"
67,video9574,example/MSR-VTT-1kA/test_1k_compress/video9574.mp4,in the ocean a man on a surfboard rides a wave,video9574,"['video9574', 'video8949', 'video7939', 'video9814', 'video7218']","['video9574', 'video8949', 'video7939', 'video9814', 'video7218', 'video9016', 'video9452', 'video9344', 'video8820', 'video8322']"
68,video9516,example/MSR-VTT-1kA/test_1k_compress/video9516.mp4,people are cheering at a stadium,video9516,"['video9516', 'video7725', 'video9605', 'video7131', 'video8262']","['video9516', 'video7725', 'video9605', 'video7131', 'video8262', 'video9513', 'video8447', 'video7357', 'video9233', 'video8556']"
69,video9329,example/MSR-VTT-1kA/test_1k_compress/video9329.mp4,a couple is shown,video7590,"['video7590', 'video9241', 'video9513', 'video7365', 'video9623']","['video7590', 'video9241', 'video9513', 'video7365', 'video9623', 'video8922', 'video8917', 'video9353', 'video9969', 'video7158']"
70,video9580,example/MSR-VTT-1kA/test_1k_compress/video9580.mp4,the animals are having nice time together and eating food,video9580,"['video9580', 'video8242', 'video9969', 'video7579', 'video7725']","['video9580', 'video8242', 'video9969', 'video7579', 'video7725', 'video7939', 'video7365', 'video7744', 'video7559', 'video7147']"
71,video8712,example/MSR-VTT-1kA/test_1k_compress/video8712.mp4,a woman is showing nail polish,video8712,"['video8712', 'video9353', 'video7744', 'video9699', 'video7669']","['video8712', 'video9353', 'video7744', 'video9699', 'video7669', 'video8825', 'video8481', 'video9513', 'video9063', 'video7579']"
72,video8556,example/MSR-VTT-1kA/test_1k_compress/video8556.mp4,a group of people are stamp dancing on stage in front of a crowd,video9513,"['video9513', 'video7367', 'video7725', 'video8447', 'video7411']","['video9513', 'video7367', 'video7725', 'video8447', 'video7411', 'video8556', 'video9233', 'video7575', 'video9605', 'video9241']"
73,video9253,example/MSR-VTT-1kA/test_1k_compress/video9253.mp4,people talking about their trip and how they are taken care of,video7854,"['video7854', 'video9016', 'video7559', 'video7158', 'video8068']","['video7854', 'video9016', 'video7559', 'video7158', 'video8068', 'video7145', 'video9353', 'video7725', 'video8917', 'video9969']"
74,video8949,example/MSR-VTT-1kA/test_1k_compress/video8949.mp4,woman with swimming suit is plunging into the water and gets rid of the suit,video8949,"['video8949', 'video9016', 'video9574', 'video9513', 'video9814']","['video8949', 'video9016', 'video9574', 'video9513', 'video9814', 'video7771', 'video8825', 'video7939', 'video9699', 'video9353']"
75,video8119,example/MSR-VTT-1kA/test_1k_compress/video8119.mp4,guy explaining what stiff person syndrome is,video7946,"['video7946', 'video7575', 'video9344', 'video8783', 'video8123']","['video7946', 'video7575', 'video9344', 'video8783', 'video8123', 'video9032', 'video7771', 'video7365', 'video8119', 'video9418']"
76,video7854,example/MSR-VTT-1kA/test_1k_compress/video7854.mp4,a guy talks outside in the snow at a ski resort,video7854,"['video7854', 'video9344', 'video9574', 'video9623', 'video7158']","['video7854', 'video9344', 'video9574', 'video9623', 'video7158', 'video8820', 'video9418', 'video9253', 'video9353', 'video7412']"
77,video7110,example/MSR-VTT-1kA/test_1k_compress/video7110.mp4,there is a man shooting other people in a corridor,video9623,"['video9623', 'video9368', 'video9418', 'video8922', 'video9329']","['video9623', 'video9368', 'video9418', 'video8922', 'video9329', 'video7771', 'video7145', 'video9344', 'video9324', 'video8917']"
78,video9605,example/MSR-VTT-1kA/test_1k_compress/video9605.mp4,a special songs for the game,video7839,"['video7839', 'video7214', 'video9605', 'video8863', 'video9258']","['video7839', 'video7214', 'video9605', 'video8863', 'video9258', 'video9224', 'video7411', 'video7367', 'video7978', 'video8486']"
79,video8116,example/MSR-VTT-1kA/test_1k_compress/video8116.mp4,a dad plays video games with his son,video8863,"['video8863', 'video9344', 'video8486', 'video7771', 'video8116']","['video8863', 'video9344', 'video8486', 'video7771', 'video8116', 'video9224', 'video7590', 'video7839', 'video7214', 'video7158']"
80,video7145,example/MSR-VTT-1kA/test_1k_compress/video7145.mp4,a critic about wine speaks about the french wines,video7559,"['video7559', 'video7357', 'video9605', 'video7365', 'video7978']","['video7559', 'video7357', 'video9605', 'video7365', 'video7978', 'video7158', 'video9063', 'video7939', 'video8447', 'video8254']"
81,video7752,example/MSR-VTT-1kA/test_1k_compress/video7752.mp4,a man speaks on driving and a car model,video9344,"['video9344', 'video7752', 'video8819', 'video7110', 'video7567']","['video9344', 'video7752', 'video8819', 'video7110', 'video7567', 'video7214', 'video9800', 'video9354', 'video7367', 'video9017']"
82,video7946,example/MSR-VTT-1kA/test_1k_compress/video7946.mp4,the man sitting in the black chair and wearing brown suit is talking,video9418,"['video9418', 'video9623', 'video8068', 'video8119', 'video9329']","['video9418', 'video9623', 'video8068', 'video8119', 'video9329', 'video8922', 'video8917', 'video9233', 'video7575', 'video7158']"
83,video9513,example/MSR-VTT-1kA/test_1k_compress/video9513.mp4,a woman is smiling,video9241,"['video9241', 'video9353', 'video9513', 'video9016', 'video8123']","['video9241', 'video9353', 'video9513', 'video9016', 'video8123', 'video7725', 'video9969', 'video8863', 'video8447', 'video8949']"
84,video9623,example/MSR-VTT-1kA/test_1k_compress/video9623.mp4,a man is on a cell phone while people are fighting,video9623,"['video9623', 'video7158', 'video9258', 'video9205', 'video8917']","['video9623', 'video7158', 'video9258', 'video9205', 'video8917', 'video7145', 'video9224', 'video9605', 'video9909', 'video9233']"
85,video7412,example/MSR-VTT-1kA/test_1k_compress/video7412.mp4,a man talks about visiting visiting a specific place to buy some things,video9337,"['video9337', 'video7854', 'video9253', 'video7028', 'video9418']","['video9337', 'video7854', 'video9253', 'video7028', 'video9418', 'video8687', 'video7145', 'video9063', 'video9574', 'video7939']"
86,video9872,example/MSR-VTT-1kA/test_1k_compress/video9872.mp4,someone is playing a first person shooter game and is making jokes,video8486,"['video8486', 'video7771', 'video9344', 'video8116', 'video8863']","['video8486', 'video7771', 'video9344', 'video8116', 'video8863', 'video9224', 'video9368', 'video7946', 'video9605', 'video7158']"
87,video8819,example/MSR-VTT-1kA/test_1k_compress/video8819.mp4,a video is shown showing different cars,video9344,"['video9344', 'video7752', 'video8819', 'video7110', 'video7214']","['video9344', 'video7752', 'video8819', 'video7110', 'video7214', 'video7567', 'video9800', 'video9354', 'video8820', 'video7839']"
88,video8784,example/MSR-VTT-1kA/test_1k_compress/video8784.mp4,a woman makes crafts,video8784,"['video8784', 'video9337', 'video9969', 'video7939', 'video7744']","['video8784', 'video9337', 'video9969', 'video7939', 'video7744', 'video9353', 'video8712', 'video7579', 'video8123', 'video9016']"
89,video7467,example/MSR-VTT-1kA/test_1k_compress/video7467.mp4,disney movie video clips,video9403,"['video9403', 'video9605', 'video7218', 'video7839', 'video8863']","['video9403', 'video9605', 'video7218', 'video7839', 'video8863', 'video8783', 'video8486', 'video9344', 'video9814', 'video7575']"
90,video8242,example/MSR-VTT-1kA/test_1k_compress/video8242.mp4,miniature donkeys walking around and making noises,video8242,"['video8242', 'video7367', 'video8863', 'video7579', 'video9969']","['video8242', 'video7367', 'video8863', 'video7579', 'video9969', 'video9353', 'video8820', 'video9580', 'video7575', 'video8662']"
91,video8662,example/MSR-VTT-1kA/test_1k_compress/video8662.mp4,a man a woman cooking on a cooking show,video7939,"['video7939', 'video8662', 'video7744', 'video8300', 'video7148']","['video7939', 'video8662', 'video7744', 'video8300', 'video7148', 'video7559', 'video8514', 'video7147', 'video7412', 'video7213']"
92,video9969,example/MSR-VTT-1kA/test_1k_compress/video9969.mp4,two girls are sitting in the bed with a cat and talking,video9969,"['video9969', 'video7579', 'video9353', 'video7365', 'video8068']","['video9969', 'video7579', 'video9353', 'video7365', 'video8068', 'video7590', 'video9241', 'video8917', 'video9623', 'video7158']"
93,video8906,example/MSR-VTT-1kA/test_1k_compress/video8906.mp4,bbc news story about military crackdown in an unknown asian country,video9205,"['video9205', 'video7145', 'video9063', 'video7158', 'video9882']","['video9205', 'video7145', 'video9063', 'video7158', 'video9882', 'video8917', 'video7028', 'video7978', 'video9623', 'video9605']"
94,video9119,example/MSR-VTT-1kA/test_1k_compress/video9119.mp4,a man talks about molecules and certain types of antibodies,video9699,"['video9699', 'video8922', 'video7575', 'video8119', 'video9623']","['video9699', 'video8922', 'video7575', 'video8119', 'video9623', 'video7145', 'video9368', 'video7590', 'video7704', 'video7854']"
95,video7357,example/MSR-VTT-1kA/test_1k_compress/video7357.mp4,tennis players are involved in matches in large stadiums in front of large crowds,video7357,"['video7357', 'video7978', 'video8262', 'video7131', 'video9516']","['video7357', 'video7978', 'video8262', 'video7131', 'video9516', 'video9605', 'video8447', 'video7771', 'video9233', 'video7839']"
96,video8783,example/MSR-VTT-1kA/test_1k_compress/video8783.mp4,a lady named lizzy is speaking about movies she is wearing a very nice outfit,video8825,"['video8825', 'video9353', 'video9969', 'video9513', 'video8068']","['video8825', 'video9353', 'video9969', 'video9513', 'video8068', 'video9016', 'video8481', 'video7669', 'video8917', 'video7590']"
97,video7669,example/MSR-VTT-1kA/test_1k_compress/video7669.mp4,three woman doing a fashion show to music,video7669,"['video7669', 'video9063', 'video9513', 'video9503', 'video8447']","['video7669', 'video9063', 'video9513', 'video9503', 'video8447', 'video9353', 'video7367', 'video8481', 'video7725', 'video8825']"
98,video9503,example/MSR-VTT-1kA/test_1k_compress/video9503.mp4,a woman is talking about how jeans with patches or rips is trendy,video9503,"['video9503', 'video8825', 'video9063', 'video8123', 'video7669']","['video9503', 'video8825', 'video9063', 'video8123', 'video7669', 'video8481', 'video8917', 'video9882', 'video9605', 'video7575']"
99,video8262,example/MSR-VTT-1kA/test_1k_compress/video8262.mp4,wrestlers are involved in a large wrestling meet,video8262,"['video8262', 'video7158', 'video8922', 'video7131', 'video9233']","['video8262', 'video7158', 'video8922', 'video7131', 'video9233', 'video9605', 'video9623', 'video7978', 'video7357', 'video7725']"
